layer	first_token_jsd	generation_mean_jsd	log_first_token_jsd	log_generation_mean_jsd	performance_Bleu_4	performance_Bleu_3	performance_Bleu_2	performance_Bleu_1	performance_METEOR	performance_ROUGE_L	performance_CIDEr
0	0.10934991824626923	0.10661300007067621	-2.2132022794932085	-2.238549822803403	9.200972329675558e-07	0.010581224220798052	0.03571173030515488	0.12083729781156967	0.06490032466324805	0.13232250399336784	0.1337459836759945
1	0.06640880678780377	0.05576730620115995	-2.7119255989481985	-2.8865674916809074	0.009484830196188896	0.022518964603407705	0.06606447205890618	0.1879079354173178	0.11659008375130846	0.2131400339187473	0.32911126331597046
2	0.051869279837235806	0.03972592316381633	-2.9590285747091234	-3.225751327966787	0.013959245521408776	0.026480054882543503	0.0722323062409462	0.19211324570266528	0.12237637483622617	0.2194400371911486	0.3356013301191597
3	0.05605040466785431	0.043474396402947604	-2.8815039097245654	-3.1355831026116587	0.00878397792031549	0.021046775399211765	0.06939265636524586	0.18721461187208505	0.11845535057114481	0.2113623246145405	0.2913800385601169
4	0.05630019311979413	0.04152193599380553	-2.87705731365065	-3.1815334132297255	0.008472194864299797	0.019814672440660697	0.06252423389552117	0.17840531561455866	0.11209537715172203	0.20352982159656852	0.2863896919552984
5	0.051155639342963695	0.038978877207264305	-2.972882541577371	-3.244735389646351	0.00860800192044024	0.020534322163373926	0.06705154814793549	0.18687032824173322	0.11887909222654353	0.21928831443538171	0.30325146484082416
6	0.052851865792647	0.04189243827480823	-2.9402622637384876	-3.172649939109154	0.007941273835241977	0.018410314618428642	0.06560114709530687	0.19061583577706398	0.11951524995857436	0.22014080135654265	0.3041169629023241
7	0.05721111264079809	0.04562371608894318	-2.8610071225286755	-3.087327607991747	9.733678832030301e-07	0.011218778943243798	0.054102587624372325	0.17116823950531365	0.10485135797459155	0.19228805840125374	0.24824466221674374
8	0.06631096225231886	0.05471764626540244	-2.7134000522857655	-2.9055690207486347	1.0462230863236095e-06	0.012265143650417266	0.061351338522456646	0.17072368421047016	0.10286337747933372	0.19441594562575168	0.23542714539940407
9	0.05186267338320613	0.041490955979563295	-2.9591559501963	-3.18227980369858	0.009833904239637996	0.024324700769342178	0.0699365569033792	0.1826258637709172	0.11324012089528375	0.21228115588372037	0.2782193035131598
10	0.06261833062767982	0.051355116746388374	-2.770697222211509	-2.968990703046179	1.000438637457455e-06	0.011501995659369985	0.05542784049483445	0.17588605498503615	0.10711441345673614	0.1973144298280717	0.2492896381254134
11	0.06812057043984532	0.05407938507106155	-2.6864760491791806	-2.9173022180394876	0.009579960987580367	0.01866886076594887	0.05158677508417134	0.16518883415429714	0.1003567709766893	0.18508201969899188	0.2393357367723583
12	0.05439925221912563	0.04415423234552145	-2.9114048711866722	-3.1200664936610005	1.3096454533900252e-06	0.016639319923955297	0.06898481734961452	0.19080234833653267	0.11533837360578988	0.21817157566562492	0.2984953294725461
13	0.06012898217141628	0.045859005865640935	-2.8112633212081963	-3.0821836793791215	1.1497374281640326e-06	0.013999035346325515	0.05328651772745637	0.1697068403908242	0.1066916688136131	0.2010958531773314	0.26657200025019306
14	0.038801592929288746	0.03128930717520416	-3.249293978317062	-3.4644788635981256	1.6919508560300232e-06	0.023196206184779383	0.06487057640023508	0.179953688388958	0.10920499609320765	0.20390365538448618	0.28257559206275096
15	0.04656517069227994	0.03466346019878983	-3.0669024273375807	-3.36206916705241	1.4267189551510195e-06	0.018422461386692342	0.06470693417878041	0.18112329677627745	0.11183245045265924	0.2097449576645036	0.28973423980875007
16	0.0402945901080966	0.029445208833552897	-3.2115380595344423	-3.525224070284284	0.012548947692593236	0.026167106131764036	0.07055768556728172	0.1932088285228546	0.11789171078790972	0.22252426834422576	0.32135819649314223
17	0.030105164204724134	0.025141356077510862	-3.503058553680198	-3.683241136244138	0.012956070160355812	0.027133957052839525	0.069206838106764	0.18985606579842706	0.11837703011760639	0.21497069279878858	0.32117232554502595
18	0.03059796522744	0.03041773286741227	-3.486821768070042	-3.492729522626796	0.014635419445403704	0.02808811589814531	0.07347588719991839	0.1888775856221808	0.11555963249162701	0.21899248275938651	0.301838822868899
19	0.02322947515267879	0.020873301230370997	-3.7623333259686684	-3.8692843897424227	0.015342841628774317	0.03414679865498751	0.08016765460087932	0.19577800476670215	0.12218696217164704	0.22146062918416778	0.349564458496677
20	0.025344902087934315	0.022399553549010305	-3.6751776702361556	-3.798714251167519	0.012878547007952112	0.026771367799920995	0.07205212741632555	0.19419488597090734	0.11934260049490963	0.21938434865780485	0.3400077265303481
21	0.024110656631179155	0.02281836048513651	-3.7251013523536485	-3.7801897826534754	0.009937204481864125	0.0242696562721398	0.07497253452302462	0.1925151719486876	0.1238845718993266	0.22181628503781065	0.31489527786740135
22	0.02512023759726435	0.02161584451375529	-3.6840814789370473	-3.8343286908991905	0.016907696967066902	0.030698255375875203	0.07445061580783228	0.18861454046632764	0.11733607836651747	0.21284156146617444	0.32814289511379535
23	0.0310079791136086	0.02875775088276714	-3.473510716854742	-3.5488479521508927	1.3236887920610318e-06	0.01611042106416082	0.06239290079846763	0.18029350104815503	0.11194428161580595	0.1999594106964651	0.29062388610134904
24	0.02603711489867419	0.023533174249343574	-3.6482322627617756	-3.7493441831168064	0.009919711164253888	0.024018464915517006	0.07313268574700889	0.18566552901017555	0.12034096316154828	0.21374001140277116	0.3184760413872496
25	0.02870720856729895	0.03089062807057053	-3.550607018162065	-3.477302439769824	1.306934174281339e-06	0.01606458996206175	0.06310345702237016	0.17528243752133676	0.11095127025632479	0.20100838035055968	0.287933125140294
26	0.029538680285215377	0.02706143870484084	-3.522054678394305	-3.6096454904377127	1.3105999142269414e-06	0.015987360624874557	0.06205915194449748	0.1733102253032328	0.10917426782935014	0.19892772959611718	0.29750906827616774
